pid,uptake_year,mc,uptake_group
34203,40,3,2
34258,36,3,2
34275,32,3,2
34377,35,3,2
34378,37,3,2
34403,27,3,2
34436,31,3,2
34441,32,3,2
34493,42,3,2
34516,43,3,2
34568,39,3,2
34581,34,3,2
34630,31,3,2
34684,41,3,2
34689,40,3,2
34701,40,3,2
34707,42,3,2
34785,40,3,2
34831,43,3,2
34849,40,3,2
34881,31,3,2
34923,42,3,2
34941,42,3,2
34945,25,3,2
35016,42,3,2
35041,39,3,2
35077,36,3,2
35210,37,3,2
35211,37,3,2
35428,36,3,2
35461,31,3,2
35560,36,3,2
35692,33,3,2
35767,36,3,2
35790,35,3,2
35851,43,3,2
35886,32,3,2
35964,41,3,2
36002,34,3,2
36043,37,3,2
36045,40,3,2
36144,34,3,2
36165,37,3,2
36203,43,3,2
36296,43,3,2
36302,39,3,2
36323,31,3,2
36355,36,3,2
36417,32,3,2
36441,43,3,2
36454,41,3,2
36470,44,3,2
36536,39,3,2
36550,33,3,2
36610,33,3,2
36660,38,3,2
36686,34,3,2
36769,37,3,2
36802,35,3,2
36882,44,3,2
37040,34,3,2
37068,38,3,2
37132,44,3,2
37140,43,3,2
37196,39,3,2
37218,42,3,2
37225,30,3,2
37228,42,3,2
37385,32,3,2
37442,34,3,2
37603,27,3,2
37643,33,3,2
37646,32,3,2
37762,35,3,2
37763,39,3,2
37809,30,3,2
37829,34,3,2
37860,29,3,2
37934,32,3,2
37988,32,3,2
38025,36,3,2
38050,29,3,2
38067,42,3,2
38121,38,3,2
38155,41,3,2
38180,37,3,2
38188,41,3,2
38276,28,3,2
38347,38,3,2
38407,31,3,2
38473,42,3,2
38481,38,3,2
38536,29,3,2
38639,44,3,2
38660,36,3,2
38667,39,3,2
38793,40,3,2
38831,36,3,2
38859,43,3,2
38901,40,3,2
38958,42,3,2
39074,28,3,2
39081,32,3,2
39085,40,3,2
39150,32,3,2
39170,38,3,2
39177,40,3,2
39181,33,3,2
39204,39,3,2
39246,39,3,2
39274,42,3,2
39336,41,3,2
39433,30,3,2
39533,28,3,2
39537,33,3,2
39564,35,3,2
39613,42,3,2
39649,41,3,2
39658,30,3,2
39790,33,3,2
39792,33,3,2
40035,26,3,2
40044,33,3,2
40140,33,3,2
40167,30,3,2
40386,37,3,2
40449,33,3,2
40452,42,3,2
40459,31,3,2
40495,33,3,2
40527,41,3,2
40545,32,3,2
40612,33,3,2
40675,32,3,2
40712,32,3,2
40717,38,3,2
40904,41,3,2
40969,42,3,2
41096,29,3,2
41185,35,3,2
41254,44,3,2
41300,44,3,2
41514,32,3,2
41540,30,3,2
41542,29,3,2
41543,40,3,2
41573,35,3,2
41604,41,3,2
41704,41,3,2
41746,36,3,2
42083,28,3,2
42152,25,3,2
42249,37,3,2
42281,35,3,2
42337,31,3,2
42440,44,3,2
42467,39,3,2
42475,39,3,2
42531,37,3,2
42533,40,3,2
42536,36,3,2
42563,32,3,2
42590,43,3,2
42619,41,3,2
42636,33,3,2
42954,34,3,2
43014,40,3,2
43156,40,3,2
43169,32,3,2
43204,33,3,2
43242,44,3,2
43394,44,3,2
43525,42,3,2
43692,39,3,2
43765,41,3,2
43780,31,3,2
43800,44,3,2
43844,42,3,2
43907,35,3,2
43908,42,3,2
43970,26,3,2
44037,43,3,2
44079,39,3,2
44135,38,3,2
44194,34,3,2
44198,29,3,2
44215,36,3,2
44326,37,3,2
44354,38,3,2
44355,27,3,2
44432,37,3,2
44458,40,3,2
44459,38,3,2
44469,36,3,2
44617,41,3,2
44774,39,3,2
44817,42,3,2
45073,35,3,2
45156,43,3,2
45202,38,3,2
45251,36,3,2
45284,42,3,2
45296,41,3,2
45308,44,3,2
45446,25,3,2
45468,41,3,2
45476,31,3,2
45477,38,3,2
45509,35,3,2
45510,41,3,2
45518,33,3,2
45619,37,3,2
45644,40,3,2
45660,43,3,2
45674,42,3,2
45697,31,3,2
45706,37,3,2
45738,44,3,2
45865,44,3,2
45904,32,3,2
45987,41,3,2
45993,27,3,2
45994,30,3,2
46026,38,3,2
46034,34,3,2
46064,41,3,2
46088,30,3,2
46182,36,3,2
46188,38,3,2
46274,41,3,2
46348,43,3,2
46362,42,3,2
46433,31,3,2
46443,34,3,2
46542,28,3,2
46561,29,3,2
46661,44,3,2
46826,37,3,2
46950,37,3,2
46977,31,3,2
47047,40,3,2
47139,37,3,2
47140,29,3,2
47143,33,3,2
47170,39,3,2
47460,30,3,2
47524,42,3,2
47596,40,3,2
47622,34,3,2
47652,33,3,2
47681,33,3,2
47683,44,3,2
47769,42,3,2
47778,41,3,2
47809,42,3,2
47848,41,3,2
47942,44,3,2
47948,44,3,2
48061,43,3,2
48239,43,3,2
48259,44,3,2
48262,39,3,2
48361,39,3,2
48419,40,3,2
48486,43,3,2
48517,37,3,2
48519,36,3,2
48548,28,3,2
48579,27,3,2
48583,34,3,2
48679,33,3,2
48712,42,3,2
48773,38,3,2
48805,39,3,2
48816,33,3,2
48870,34,3,2
48935,25,3,2
48941,38,3,2
48973,35,3,2
49033,34,3,2
49036,43,3,2
49199,33,3,2
49203,35,3,2
49249,34,3,2
49263,30,3,2
49315,34,3,2
49329,34,3,2
49354,40,3,2
49358,36,3,2
49395,40,3,2
49412,41,3,2
49569,37,3,2
49576,31,3,2
49669,34,3,2
49711,42,3,2
49829,40,3,2
49945,42,3,2
49995,39,3,2
50026,36,3,2
50030,33,3,2
50081,41,3,2
50089,34,3,2
50154,39,3,2
50158,39,3,2
50245,39,3,2
50259,34,3,2
50376,37,3,2
50383,37,3,2
50470,42,3,2
50531,26,3,2
50579,43,3,2
50595,39,3,2
50614,35,3,2
50631,28,3,2
50662,32,3,2
50785,31,3,2
50788,35,3,2
50802,39,3,2
50821,29,3,2
50883,41,3,2
50954,43,3,2
50985,32,3,2
50993,39,3,2
50999,36,3,2
51074,35,3,2
51139,43,3,2
51159,43,3,2
51180,38,3,2
