pid,uptake_year,mc,uptake_group
100094015,25,2,1
100094066,25,2,1
100094071,25,2,1
100094097,25,2,1
100094131,25,2,1
100094278,25,2,1
100094377,25,2,1
100094414,25,2,1
100094436,25,2,1
100094454,25,2,1
100094600,25,2,1
100094687,25,2,1
100094759,25,2,1
100094777,25,2,1
100094810,25,2,1
100094964,25,2,1
100095028,25,2,1
100095092,25,2,1
100095171,25,2,1
100095239,25,2,1
100095247,25,2,1
100095305,25,2,1
100095367,25,2,1
100095409,25,2,1
100095491,25,2,1
100095507,25,2,1
100095558,25,2,1
100095869,25,2,1
100095917,25,2,1
100095938,25,2,1
100095973,25,2,1
100096010,25,2,1
100096045,25,2,1
100096215,25,2,1
100096285,25,2,1
100096331,25,2,1
100096448,25,2,1
100096471,25,2,1
100096547,25,2,1
100096565,25,2,1
100096617,25,2,1
100096723,25,2,1
100096756,25,2,1
100096767,25,2,1
100096962,25,2,1
100096990,25,2,1
100097009,25,2,1
100097098,25,2,1
100097341,25,2,1
100097401,25,2,1
100097421,25,2,1
100097492,25,2,1
100097511,25,2,1
100097580,25,2,1
100097590,25,2,1
100097645,25,2,1
100097686,25,2,1
100097737,25,2,1
100097740,25,2,1
100097827,25,2,1
100097930,25,2,1
100098001,25,2,1
100098062,25,2,1
100098252,25,2,1
100098336,25,2,1
100098354,25,2,1
100098432,25,2,1
100098479,25,2,1
100098501,25,2,1
100098752,25,2,1
100098828,25,2,1
100098971,25,2,1
100099104,25,2,1
100099155,25,2,1
100099168,25,2,1
100099185,25,2,1
100099205,25,2,1
100099245,25,2,1
100099435,25,2,1
100099459,25,2,1
100099469,25,2,1
100099537,25,2,1
100099618,25,2,1
100099837,25,2,1
100100103,25,2,1
100100315,25,2,1
100100389,25,2,1
100100524,25,2,1
100100651,25,2,1
100100682,25,2,1
100100683,25,2,1
100100702,25,2,1
100100739,25,2,1
100100784,25,2,1
100100846,25,2,1
100100933,25,2,1
100101043,25,2,1
100101084,25,2,1
100101374,25,2,1
100101436,25,2,1
100101652,25,2,1
100101770,25,2,1
100101790,25,2,1
100102022,25,2,1
100102158,25,2,1
100102291,25,2,1
100102309,25,2,1
100102336,25,2,1
100102422,25,2,1
100102431,25,2,1
100102534,25,2,1
100102618,25,2,1
100102730,25,2,1
100102756,25,2,1
100102822,25,2,1
100102934,25,2,1
100102985,25,2,1
100103079,25,2,1
100103246,25,2,1
100103390,25,2,1
100103425,25,2,1
100103465,25,2,1
100103606,25,2,1
100103691,25,2,1
100103822,25,2,1
100103853,25,2,1
100103873,25,2,1
100103908,25,2,1
100103910,25,2,1
100103932,25,2,1
100103963,25,2,1
100104056,25,2,1
100104106,25,2,1
100104115,25,2,1
100104332,25,2,1
100104341,25,2,1
100104462,25,2,1
100104488,25,2,1
100104677,25,2,1
100104699,25,2,1
100104797,25,2,1
100105036,25,2,1
100105077,25,2,1
100105090,25,2,1
100105099,25,2,1
100105212,25,2,1
100105225,25,2,1
100105441,25,2,1
100105508,25,2,1
100105535,25,2,1
100105574,25,2,1
100105615,25,2,1
100105625,25,2,1
100105659,25,2,1
100105693,25,2,1
100105703,25,2,1
100105783,25,2,1
100105927,25,2,1
100106033,25,2,1
100106059,25,2,1
100106164,25,2,1
100106350,25,2,1
100106431,25,2,1
100106568,25,2,1
100106575,25,2,1
100106656,25,2,1
100106726,25,2,1
100106814,25,2,1
100106908,25,2,1
100107123,25,2,1
100107299,25,2,1
100107361,25,2,1
100107436,25,2,1
100107499,25,2,1
100107561,25,2,1
100107655,25,2,1
100107692,25,2,1
100107756,25,2,1
100107763,25,2,1
100107799,25,2,1
100107809,25,2,1
100107818,25,2,1
100107840,25,2,1
100107887,25,2,1
100107959,25,2,1
100107976,25,2,1
100107984,25,2,1
100108123,25,2,1
100108288,25,2,1
100108374,25,2,1
100108390,25,2,1
100108531,25,2,1
100108601,25,2,1
100108662,25,2,1
100108845,25,2,1
100108852,25,2,1
100109001,25,2,1
100109051,25,2,1
100109072,25,2,1
100109384,25,2,1
100109447,25,2,1
100109479,25,2,1
100109550,25,2,1
100109846,25,2,1
100109933,25,2,1
100109989,25,2,1
100110265,25,2,1
100110308,25,2,1
100110377,25,2,1
100110483,25,2,1
100110568,25,2,1
100110631,25,2,1
100110851,25,2,1
100110869,25,2,1
100110910,25,2,1
100111113,25,2,1
100111175,25,2,1
100111235,25,2,1
100111247,25,2,1
100111276,25,2,1
100111435,25,2,1
100111550,25,2,1
100111680,25,2,1
100111914,25,2,1
100112008,25,2,1
100112030,25,2,1
100112048,25,2,1
100112089,25,2,1
100112164,25,2,1
100112177,25,2,1
100112248,25,2,1
100112271,25,2,1
100112338,25,2,1
100112343,25,2,1
100112397,25,2,1
100112429,25,2,1
100112456,25,2,1
100112605,25,2,1
100112816,25,2,1
100112823,25,2,1
100112840,25,2,1
100112909,25,2,1
100113045,25,2,1
100113134,25,2,1
100113372,25,2,1
100113580,25,2,1
100113614,25,2,1
100113837,25,2,1
100113875,25,2,1
100113924,25,2,1
100114178,25,2,1
100114262,25,2,1
100114299,25,2,1
100114508,25,2,1
100114524,25,2,1
100114798,25,2,1
100114976,25,2,1
100115050,25,2,1
100115138,25,2,1
100115180,25,2,1
100115206,25,2,1
100115246,25,2,1
100115338,25,2,1
100115544,25,2,1
100115630,25,2,1
100115758,25,2,1
100115760,25,2,1
100115791,25,2,1
100115851,25,2,1
100115907,25,2,1
100115947,25,2,1
100116096,25,2,1
100116178,25,2,1
100116194,25,2,1
100116207,25,2,1
100116255,25,2,1
100116318,25,2,1
100116333,25,2,1
100116345,25,2,1
100116354,25,2,1
100116615,25,2,1
100116634,25,2,1
100116689,25,2,1
100116700,25,2,1
100116713,25,2,1
100116722,25,2,1
100116737,25,2,1
100116800,25,2,1
100116859,25,2,1
100116879,25,2,1
100116896,25,2,1
