pid,uptake_year,mc
100087916,25,5
100087942,25,5
100087978,25,5
100087983,25,5
100088031,25,5
100088212,25,5
100088244,25,5
100088424,25,5
100088472,25,5
100088521,25,5
100088553,25,5
100088839,25,5
100089021,25,5
100089024,25,5
100089028,25,5
100089087,25,5
100089106,25,5
100089141,25,5
100089154,25,5
100089183,25,5
100089186,25,5
100089327,25,5
100089365,25,5
100089378,25,5
100089432,25,5
100089621,25,5
100089845,25,5
100089864,25,5
100089880,25,5
100089886,25,5
100089890,25,5
100089972,25,5
100089990,25,5
100090133,25,5
100090251,25,5
100090256,25,5
100090729,25,5
100090785,25,5
100090799,25,5
100090899,25,5
100090914,25,5
100091007,25,5
100091125,25,5
100091135,25,5
100091157,25,5
100091307,25,5
100091313,25,5
100091623,25,5
100091634,25,5
100091741,25,5
100091746,25,5
100091779,25,5
100091972,25,5
100091981,25,5
100092168,25,5
100092204,25,5
100092231,25,5
100092249,25,5
100092255,25,5
100092265,25,5
100092380,25,5
100092460,25,5
100092489,25,5
100092565,25,5
100092623,25,5
100092907,25,5
100092930,25,5
100092967,25,5
100092991,25,5
100093001,25,5
100093096,25,5
100093149,25,5
100093201,25,5
100093302,25,5
100093373,25,5
100093493,25,5
100093519,25,5
100093600,25,5
100093621,25,5
100093636,25,5
100093652,25,5
100093864,25,5
100093872,25,5
100093881,25,5
100093922,25,5
100093938,25,5
100094290,25,5
100094344,25,5
100094454,25,5
100094484,25,5
100094543,25,5
100094568,25,5
100094573,25,5
100094607,25,5
100094741,25,5
100094771,25,5
100094772,25,5
100094829,25,5
100094987,25,5
100095005,25,5
100095039,25,5
100095080,25,5
100095127,25,5
100095131,25,5
100095207,25,5
100095279,25,5
100095289,25,5
100095316,25,5
100095401,25,5
100095431,25,5
100095516,25,5
100095582,25,5
100095602,25,5
100095612,25,5
100095632,25,5
100095652,25,5
100095694,25,5
100095758,25,5
100095891,25,5
100095991,25,5
100096005,25,5
100096091,25,5
100096121,25,5
100096144,25,5
100096202,25,5
100096267,25,5
100096295,25,5
100096333,25,5
100096337,25,5
100096401,25,5
100096462,25,5
100096470,25,5
100096527,25,5
100096547,25,5
100096607,25,5
100096682,25,5
100096816,25,5
100096959,25,5
100096997,25,5
100097006,25,5
100097175,25,5
100097238,25,5
100097279,25,5
100097341,25,5
100097470,25,5
100097474,25,5
100097475,25,5
100097494,25,5
100097862,25,5
100097867,25,5
100097949,25,5
100097966,25,5
100097978,25,5
100098002,25,5
100098134,25,5
100098169,25,5
100098183,25,5
100098249,25,5
100098362,25,5
100098420,25,5
100098492,25,5
100098668,25,5
100098832,25,5
100098867,25,5
100098898,25,5
100098947,25,5
100099062,25,5
100099258,25,5
100099352,25,5
100099572,25,5
100099594,25,5
100099692,25,5
100099749,25,5
100099842,25,5
100099846,25,5
100099932,25,5
100099967,25,5
100099994,25,5
100100056,25,5
100100082,25,5
100100179,25,5
100100436,25,5
100100609,25,5
100100644,25,5
100100712,25,5
100100772,25,5
100100774,25,5
100100787,25,5
100100789,25,5
100100801,25,5
100100829,25,5
100101003,25,5
100101056,25,5
100101170,25,5
100101196,25,5
100101299,25,5
100101311,25,5
100101322,25,5
100101410,25,5
100101425,25,5
100101503,25,5
100101529,25,5
100101570,25,5
100101672,25,5
100101713,25,5
100101830,25,5
100101855,25,5
100101856,25,5
100101963,25,5
100102028,25,5
100102105,25,5
100102188,25,5
100102230,25,5
100102301,25,5
100102429,25,5
100102456,25,5
100102550,25,5
100102595,25,5
100102885,25,5
100103034,25,5
100103087,25,5
100103144,25,5
100103236,25,5
100103383,25,5
100103402,25,5
100103422,25,5
100103425,25,5
100103479,25,5
100103542,25,5
100103690,25,5
100103715,25,5
100103739,25,5
100103748,25,5
100103813,25,5
100103978,25,5
100104071,25,5
100104146,25,5
100104226,25,5
100104230,25,5
100104329,25,5
100104409,25,5
100104597,25,5
100104599,25,5
100104761,25,5
100104831,25,5
100104834,25,5
100104876,25,5
100105004,25,5
100105030,25,5
100105054,25,5
100105350,25,5
100105532,25,5
100105836,25,5
100105870,25,5
100105875,25,5
100105973,25,5
100106053,25,5
100106065,25,5
100106074,25,5
100106084,25,5
100106111,25,5
100106151,25,5
100106354,25,5
100106655,25,5
100106731,25,5
100106765,25,5
100106772,25,5
100106810,25,5
100106948,25,5
100106973,25,5
100106983,25,5
100107002,25,5
100107003,25,5
100107007,25,5
100107043,25,5
100107114,25,5
100107321,25,5
100107325,25,5
100107340,25,5
100107346,25,5
100107463,25,5
100107464,25,5
100107468,25,5
100107659,25,5
100107849,25,5
100107912,25,5
100107921,25,5
