pid,uptake_year,uptake_group
100074205,25,1
100074253,25,1
100074356,25,1
100074378,25,1
100075198,25,1
100075415,25,1
100075478,25,1
100075665,25,1
100075706,25,1
100075782,25,1
100075785,25,1
100076091,25,1
100076336,25,1
100076354,25,1
100076538,25,1
100076681,25,1
100076853,25,1
100077039,25,1
100077182,25,1
100077674,25,1
100077735,25,1
100077825,25,1
100078013,25,1
100078166,25,1
100078416,25,1
100079205,25,1
100079497,25,1
100079776,25,1
100079937,25,1
100080559,25,1
100081044,25,1
100081096,25,1
100081594,25,1
100081595,25,1
100081626,25,1
100082068,25,1
100082314,25,1
100082342,25,1
100082448,25,1
100082740,25,1
100082764,25,1
100082899,25,1
100082936,25,1
100083083,25,1
100083265,25,1
100083748,25,1
100083897,25,1
100083974,25,1
100084590,25,1
100085126,25,1
100085248,25,1
100085249,25,1
100085357,25,1
100085688,25,1
100086258,25,1
100086259,25,1
100087113,25,1
100087238,25,1
100087264,25,1
100087332,25,1
100087478,25,1
100087649,25,1
100087710,25,1
100088025,25,1
100088072,25,1
100088118,25,1
100088306,25,1
100088533,25,1
100088617,25,1
100088685,25,1
100089102,25,1
100089341,25,1
100089401,25,1
100089445,25,1
100089548,25,1
100089682,25,1
100089709,25,1
100089799,25,1
100090314,25,1
100090666,25,1
100090902,25,1
100091053,25,1
100091375,25,1
100091813,25,1
100091905,25,1
100092074,25,1
100092531,25,1
100092545,25,1
100092636,25,1
100092966,25,1
100093066,25,1
100093194,25,1
100093249,25,1
100093382,25,1
100093481,25,1
100093529,25,1
100094184,25,1
100094192,25,1
100094434,25,1
100094490,25,1
100094739,25,1
100094773,25,1
100094852,25,1
100094997,25,1
100095369,25,1
100095752,25,1
100095756,25,1
100095897,25,1
100095908,25,1
100095928,25,1
100096104,25,1
100096149,25,1
100096267,25,1
100096301,25,1
100096421,25,1
100096484,25,1
100096622,25,1
100096921,25,1
100097164,25,1
100097190,25,1
100097694,25,1
100097799,25,1
100097945,25,1
100098176,25,1
100098213,25,1
100098337,25,1
100098340,25,1
100098415,25,1
100098510,25,1
100098550,25,1
100098599,25,1
100098646,25,1
100098831,25,1
100099287,25,1
100099337,25,1
100099395,25,1
100099500,25,1
100099919,25,1
100100298,25,1
100100538,25,1
100100770,25,1
100100807,25,1
100100946,25,1
100101093,25,1
100101602,25,1
100101924,25,1
100102006,25,1
100102133,25,1
100102167,25,1
100102375,25,1
100102466,25,1
100102786,25,1
100103079,25,1
100103118,25,1
100103150,25,1
100103262,25,1
100103315,25,1
100103323,25,1
100103715,25,1
100103756,25,1
100104169,25,1
100104246,25,1
100104337,25,1
100104504,25,1
100104523,25,1
100104841,25,1
100105015,25,1
100105223,25,1
100105310,25,1
100105429,25,1
100105509,25,1
100105577,25,1
100105790,25,1
100106235,25,1
100106342,25,1
100106467,25,1
100106774,25,1
100106800,25,1
100107425,25,1
100107667,25,1
100107771,25,1
100107925,25,1
100108076,25,1
100108160,25,1
100108362,25,1
100108575,25,1
100108626,25,1
100108817,25,1
100109164,25,1
100109326,25,1
100109370,25,1
100109596,25,1
100109635,25,1
100110025,25,1
100110557,25,1
100110624,25,1
100110703,25,1
100110786,25,1
100110818,25,1
100111027,25,1
100111393,25,1
100111887,25,1
100111940,25,1
100111954,25,1
100111995,25,1
100112186,25,1
100112265,25,1
100112643,25,1
100112786,25,1
100112860,25,1
100112989,25,1
100112996,25,1
100113099,25,1
100113317,25,1
100113501,25,1
100113634,25,1
100113691,25,1
100113790,25,1
100113792,25,1
100114003,25,1
100114090,25,1
100114216,25,1
100114303,25,1
100114313,25,1
100114427,25,1
100114435,25,1
100114442,25,1
100114479,25,1
100114676,25,1
100114813,25,1
100114840,25,1
100114911,25,1
100114995,25,1
100115091,25,1
100115116,25,1
100115392,25,1
100115415,25,1
100115519,25,1
100115921,25,1
100115928,25,1
100116270,25,1
100116429,25,1
100116471,25,1
100116839,25,1
100116848,25,1
100116854,25,1
100116860,25,1
100116924,25,1
100116979,25,1
100116999,25,1
100117280,25,1
100117575,25,1
100117676,25,1
100117771,25,1
100117821,25,1
100117895,25,1
100118069,25,1
100118173,25,1
100118462,25,1
100118582,25,1
100118625,25,1
100118749,25,1
100118877,25,1
100119212,25,1
100119239,25,1
100119255,25,1
100119535,25,1
100119636,25,1
100119956,25,1
100120257,25,1
100120473,25,1
100120512,25,1
100120614,25,1
100120688,25,1
100120782,25,1
100120810,25,1
100120974,25,1
100121055,25,1
100121069,25,1
100121248,25,1
100121658,25,1
100121673,25,1
100121786,25,1
100121858,25,1
100121879,25,1
100122361,25,1
100122499,25,1
100122706,25,1
100122957,25,1
100122969,25,1
100123224,25,1
